City A,City B,Distance,Color
Vancouver,Calgary,3,NONE
Vancouver,Seattle,1,NONE
Vancouver,Seattle,1,NONE
Seattle,Calgary,4,NONE
Seattle,Helena,6,YELLOW
Seattle,Portland,1,NONE
Seattle,Portland,1,NONE
Portland,Salt Lake City,6,BLUE
Portland,San Francisco,5,GREEN
Portland,San Francisco,5,PURPLE
San Francisco,Salt Lake City,5,ORANGE
San Francisco,Salt Lake City,5,WHITE
San Francisco,Los Angeles,3,YELLOW
San Francisco,Los Angeles,3,PURPLE
Los Angeles,Las Vegas,2,NONE
Los Angeles,Phoenix,3,NONE
Los Angeles,El Paso,6,BLACK
Calgary,Winnipeg,6,WHITE
Calgary,Helena,4,NONE
Helena,Winnipeg,4,BLUE
Helena,Salt Lake City,3,PURPLE
Helena,Denver,4,GREEN
Helena,Duluth,6,ORANGE
Helena,Omaha,5,RED
Salt Lake City,Denver,3,RED
Salt Lake City,Denver,3,YELLOW
Las Vegas,Salt Lake City,3,ORANGE
Phoenix,Denver,5,WHITE
Phoenix,Santa Fe,3,NONE
Phoenix,El Paso,3,NONE
Winnipeg,Sault St. Marie,6,NONE
Winnipeg,Duluth,4,BLACK
Duluth,Sault St. Marie,3,NONE
Duluth,Toronto,6,PURPLE
Duluth,Chicago,3,RED
Duluth,Omaha,2,NONE
Duluth,Omaha,2,NONE
Omaha,Chicago,4,BLUE
Omaha,Kansas City,1,NONE
Omaha,Kansas City,1,NONE
Kansas City,Saint Louis,2,BLUE
Kansas City,Saint Louis,2,PURPLE
Kansas City,Oklahoma City,2,NONE
Kansas City,Oklahoma City,2,NONE
Oklahoma City,Little Rock,2,NONE
Oklahoma City,Dallas,2,NONE
Oklahoma City,Dallas,2,NONE
Dallas,Little Rock,2,NONE
Dallas,Houston,1,NONE
Dallas,Houston,1,NONE
Houston,New Orleans,2,NONE
El Paso,Houston,6,GREEN
El Paso,Dallas,4,RED
El Paso,Oklahoma City,5,YELLOW
El Paso,Santa Fe,2,NONE
Santa Fe,Oklahoma City,3,BLUE
Oklahoma City,Denver,4,RED
Santa Fe,Denver,2,NONE
Denver,Kansas City,4,BLACK
Denver,Kansas City,4,ORANGE
Denver,Omaha,4,PURPLE
New Orleans,Miami,6,RED
New Orleans,Atlanta,4,ORANGE
New Orleans,Atlanta,4,YELLOW
New Orleans,Little Rock,3,GREEN
Little Rock,Nashville,3,WHITE
Little Rock,Saint Louis,2,NONE
Saint Louis,Nashville,2,NONE
Saint Louis,Pittsburgh,5,GREEN
Saint Louis,Chicago,2,GREEN
Saint Louis,Chicago,2,WHITE
Chicago,Pittsburgh,3,BLACK
Chicago,Pittsburgh,3,ORANGE
Chicago,Toronto,4,WHITE
Sault St. Marie,Montreal,5,BLACK
Toronto,Montreal,3,NONE
Sault St. Marie,Toronto,2,NONE
Toronto,Pittsburgh,2,NONE
Pittsburgh,New York,2,WHITE
Pittsburgh,New York,2,GREEN
Pittsburgh,Washington,2,NONE
Pittsburgh,Raleigh,2,NONE
Nashville,Raleigh,3,BLACK
Nashville,Atlanta,1,NONE
Nashville,Pittsburgh,4,YELLOW
Atlanta,Miami,5,BLUE
Atlanta,Charleston,2,NONE
Atlanta,Raleigh,2,NONE
Atlanta,Raleigh,2,NONE
Charleston,Miami,4,PURPLE
Raleigh,Charleston,2,NONE
Raleigh,Washington,2,NONE
Raleigh,Washington,2,NONE
Washington,New York,2,ORANGE
Washington,New York,2,BLACK
New York,Boston,2,YELLOW
New York,Boston,2,RED
New York,Montreal,3,BLUE
Boston,Montreal,2,NONE
Boston,Montreal,2,NONE
